Samples,Pops,Habitat,Long,Lat,NDVI,wc2.0_bio_30s_01,wc2.0_bio_30s_02,wc2.0_bio_30s_03,wc2.0_bio_30s_04,wc2.0_bio_30s_05,wc2.0_bio_30s_06,wc2.0_bio_30s_07,wc2.0_bio_30s_08,wc2.0_bio_30s_09,wc2.0_bio_30s_10,wc2.0_bio_30s_11,wc2.0_bio_30s_12,wc2.0_bio_30s_13,wc2.0_bio_30s_14,wc2.0_bio_30s_15,wc2.0_bio_30s_16,wc2.0_bio_30s_17,wc2.0_bio_30s_18,wc2.0_bio_30s_19
WHO_10392,WHO,1,-113.5615,36.8939,1.846013635,15.45833324,15.89999981,39.84962205,878.1769314,35.40000153,-4.5,39.90000153,6.883333166,19.09999983,26.51666705,5.016666591,278,36,7,37.04581183,103,35,58,90
WHO_10394,WHO,1,-113.5615,36.8939,1.846013635,15.45833324,15.89999981,39.84962205,878.1769314,35.40000153,-4.5,39.90000153,6.883333166,19.09999983,26.51666705,5.016666591,278,36,7,37.04581183,103,35,58,90
WHO_10395,WHO,1,-113.5615,36.8939,1.846013635,15.45833324,15.89999981,39.84962205,878.1769314,35.40000153,-4.5,39.90000153,6.883333166,19.09999983,26.51666705,5.016666591,278,36,7,37.04581183,103,35,58,90
WHO_10396,WHO,1,-113.5615,36.8939,1.846013635,15.45833324,15.89999981,39.84962205,878.1769314,35.40000153,-4.5,39.90000153,6.883333166,19.09999983,26.51666705,5.016666591,278,36,7,37.04581183,103,35,58,90
WHO_10397,WHO,1,-113.5615,36.8939,1.846013635,15.45833324,15.89999981,39.84962205,878.1769314,35.40000153,-4.5,39.90000153,6.883333166,19.09999983,26.51666705,5.016666591,278,36,7,37.04581183,103,35,58,90
WHO_10399,WHO,1,-113.5615,36.8939,1.846013635,15.45833324,15.89999981,39.84962205,878.1769314,35.40000153,-4.5,39.90000153,6.883333166,19.09999983,26.51666705,5.016666591,278,36,7,37.04581183,103,35,58,90
WHO_10400,WHO,1,-113.5615,36.8939,1.846013635,15.45833324,15.89999981,39.84962205,878.1769314,35.40000153,-4.5,39.90000153,6.883333166,19.09999983,26.51666705,5.016666591,278,36,7,37.04581183,103,35,58,90
WMU_8969,WMU,0,-116.6445,43.1902,2.20339217,9.620833389,13.65833332,37.01445381,844.9245876,27.39999962,-9.5,36.89999962,0.233333309,20.05000003,20.18333371,-0.533333381,263,29,8,29.50531285,86,37,50,78
WMU_8970,WMU,0,-116.6445,43.1902,2.20339217,9.620833389,13.65833332,37.01445381,844.9245876,27.39999962,-9.5,36.89999962,0.233333309,20.05000003,20.18333371,-0.533333381,263,29,8,29.50531285,86,37,50,78
WMU_8972,WMU,0,-116.6445,43.1902,2.20339217,9.620833389,13.65833332,37.01445381,844.9245876,27.39999962,-9.5,36.89999962,0.233333309,20.05000003,20.18333371,-0.533333381,263,29,8,29.50531285,86,37,50,78
WMU_8976,WMU,0,-116.6445,43.1902,2.20339217,9.620833389,13.65833332,37.01445381,844.9245876,27.39999962,-9.5,36.89999962,0.233333309,20.05000003,20.18333371,-0.533333381,263,29,8,29.50531285,86,37,50,78
WMU_8978,WMU,0,-116.6445,43.1902,2.20339217,9.620833389,13.65833332,37.01445381,844.9245876,27.39999962,-9.5,36.89999962,0.233333309,20.05000003,20.18333371,-0.533333381,263,29,8,29.50531285,86,37,50,78
WMU_8979,WMU,0,-116.6445,43.1902,2.20339217,9.620833389,13.65833332,37.01445381,844.9245876,27.39999962,-9.5,36.89999962,0.233333309,20.05000003,20.18333371,-0.533333381,263,29,8,29.50531285,86,37,50,78
WMU_8980,WMU,0,-116.6445,43.1902,2.20339217,9.620833389,13.65833332,37.01445381,844.9245876,27.39999962,-9.5,36.89999962,0.233333309,20.05000003,20.18333371,-0.533333381,263,29,8,29.50531285,86,37,50,78
WMU_8981,WMU,0,-116.6445,43.1902,2.20339217,9.620833389,13.65833332,37.01445381,844.9245876,27.39999962,-9.5,36.89999962,0.233333309,20.05000003,20.18333371,-0.533333381,263,29,8,29.50531285,86,37,50,78
WOH_10401,WHO,1,-113.5615,36.8939,1.846013635,15.45833324,15.89999981,39.84962205,878.1769314,35.40000153,-4.5,39.90000153,6.883333166,19.09999983,26.51666705,5.016666591,278,36,7,37.04581183,103,35,58,90
WOH_10402,WHO,1,-113.5615,36.8939,1.846013635,15.45833324,15.89999981,39.84962205,878.1769314,35.40000153,-4.5,39.90000153,6.883333166,19.09999983,26.51666705,5.016666591,278,36,7,37.04581183,103,35,58,90
WPF_064,WPF,1,-117.9731,37.05201,2.702078581,8.191666697,16.31666673,44.45958376,756.1560402,26.79999924,-9.899999619,36.69999886,0.633333445,15.00000002,17.84999983,-0.533333302,263,40,8,48.35779496,109,34,36,109
WPF_066,WPF,1,-117.9731,37.05201,2.702078581,8.191666697,16.31666673,44.45958376,756.1560402,26.79999924,-9.899999619,36.69999886,0.633333445,15.00000002,17.84999983,-0.533333302,263,40,8,48.35779496,109,34,36,109
WPF_069,WPF,1,-117.9731,37.05201,2.702078581,8.191666697,16.31666673,44.45958376,756.1560402,26.79999924,-9.899999619,36.69999886,0.633333445,15.00000002,17.84999983,-0.533333302,263,40,8,48.35779496,109,34,36,109
WPF_070,WPF,1,-117.9731,37.05201,2.702078581,8.191666697,16.31666673,44.45958376,756.1560402,26.79999924,-9.899999619,36.69999886,0.633333445,15.00000002,17.84999983,-0.533333302,263,40,8,48.35779496,109,34,36,109
WRC_224,WRC,1,-117.13325,36.24825,1.712352345,11.57083336,14.39166674,40.88541654,770.2197403,29.60000038,-5.599999905,35.20000029,3.833333333,14.20000011,21.31666676,2.599999984,206,31,5,47.05073235,84,26,37,84
WRC_225,WRC,1,-117.13325,36.24825,1.712352345,11.57083336,14.39166674,40.88541654,770.2197403,29.60000038,-5.599999905,35.20000029,3.833333333,14.20000011,21.31666676,2.599999984,206,31,5,47.05073235,84,26,37,84
WRC_226,WRC,1,-117.13325,36.24825,1.712352345,11.57083336,14.39166674,40.88541654,770.2197403,29.60000038,-5.599999905,35.20000029,3.833333333,14.20000011,21.31666676,2.599999984,206,31,5,47.05073235,84,26,37,84
WSP_762,WSP,1,-117.05938,35.91085,1.473314931,16.35416662,14.54166629,39.73132785,814.7042338,34.70000076,-1.899999976,36.60000074,8.350000076,19.433333,26.66666667,6.833333495,138,22,3,51.78978488,60,14,25,59
WSP_763,WSP,1,-117.05938,35.91085,1.473314931,16.35416662,14.54166629,39.73132785,814.7042338,34.70000076,-1.899999976,36.60000074,8.350000076,19.433333,26.66666667,6.833333495,138,22,3,51.78978488,60,14,25,59
WSP_764,WSP,1,-117.05938,35.91085,1.473314931,16.35416662,14.54166629,39.73132785,814.7042338,34.70000076,-1.899999976,36.60000074,8.350000076,19.433333,26.66666667,6.833333495,138,22,3,51.78978488,60,14,25,59
WSP_766,WSP,1,-117.05938,35.91085,1.473314931,16.35416662,14.54166629,39.73132785,814.7042338,34.70000076,-1.899999976,36.60000074,8.350000076,19.433333,26.66666667,6.833333495,138,22,3,51.78978488,60,14,25,59
WSP_767,WSP,1,-117.05938,35.91085,1.473314931,16.35416662,14.54166629,39.73132785,814.7042338,34.70000076,-1.899999976,36.60000074,8.350000076,19.433333,26.66666667,6.833333495,138,22,3,51.78978488,60,14,25,59
WSP_768,WSP,1,-117.05938,35.91085,1.473314931,16.35416662,14.54166629,39.73132785,814.7042338,34.70000076,-1.899999976,36.60000074,8.350000076,19.433333,26.66666667,6.833333495,138,22,3,51.78978488,60,14,25,59
WSP_769,WSP,1,-117.05938,35.91085,1.473314931,16.35416662,14.54166629,39.73132785,814.7042338,34.70000076,-1.899999976,36.60000074,8.350000076,19.433333,26.66666667,6.833333495,138,22,3,51.78978488,60,14,25,59
WSP_770,WSP,1,-117.05938,35.91085,1.473314931,16.35416662,14.54166629,39.73132785,814.7042338,34.70000076,-1.899999976,36.60000074,8.350000076,19.433333,26.66666667,6.833333495,138,22,3,51.78978488,60,14,25,59
WSV_8587,WSV,0,-112.85,39.103,1.625386536,10.9749999,16.96666647,38.04185355,978.7851945,32.79999924,-11.80000019,44.59999943,10.24999975,-0.916666746,23.38333321,-0.916666746,223,25,13,22.0397002,69,42,48,42
WSV_8588,WSV,0,-112.85,39.103,1.625386536,10.9749999,16.96666647,38.04185355,978.7851945,32.79999924,-11.80000019,44.59999943,10.24999975,-0.916666746,23.38333321,-0.916666746,223,25,13,22.0397002,69,42,48,42
